קוד,Medication_Name,Package_Size,Max_Retailer_Price,Max_Consumer_Price,Max_Consumer_VAT_Price,Year
6123,ACTIQ 400MCG 30 COMPRESSED TAB,30.0,984.07,1156.28,1341.29,2011
6124,ACTIQ 600MCG 30 COMPRESSED TAB,30.0,984.07,1156.28,1341.29,2011
6125,ACTIQ 800MCG 30 COMPRESSED TAB,30.0,990.43,1163.76,1349.96,2011
3811,ACTIVELLE 28TAB,28.0,35.96,49.27,57.15,2011
4394,ACTONEL 30MG 28TAB,28.0,953.18,1119.99,1299.19,2011
4393,ACTONEL 5MG 28TAB,28.0,126.99,158.74,184.14,2011
6217,ACTONEL 75MG 2TAB,2.0,127.5,159.37,184.87,2011
6534,ACTONEL ONCE A MONTH 150 MG 1 F.C. TAB,,,,,2011
4649,ACTONEL ONCE A WEEK 35MG 4TAB,4.0,113.8,142.25,165.01,2011
6010,ADAFERIN CREAM 0.1% 30GR,30.0,30.0,41.1,47.67,2011
3563,ADAFERINE GEL 30GR,30.0,30.0,41.1,47.67,2011
3496,ADIZEM CD 120MG 30CAP,30.0,35.75,48.98,56.82,2011
3497,ADIZEM CD 180MG 30CAP,30.0,34.43,47.17,54.72,2011
3498,ADIZEM CD 240MG 30CAP,30.0,50.03,67.29,78.06,2011
4577,AERIUS 5MG 15TAB,15.0,22.67,31.06,36.02,2011
4684,AERIUS SYRUP 0.5MG/ML 120ML,120.0,19.43,26.62,30.87,2011
1442,AEROVENT SOL 20ML,20.0,18.22,24.96,28.95,2011
6513,AFINITOR 10MG 30TABLETS,30.0,19039.94,22371.93,25951.43,2011
6512,AFINITOR 5MG 30TABLETS,30.0,13826.07,16245.63,18844.93,2011
2363,AFLUMYCIN CREAM 20GR,20.0,,,,2011
6247,AGGRENOX 60 CAPS,60.0,60.76,81.72,94.79,2011
2714,AGISERC 16MG 30TAB,30.0,15.25,20.89,24.23,2011
2365,AGISPOR CREAM 15GR,15.0,19.66,26.93,31.24,2011
2477,AGISPOR GEL 15GR,15.0,7.2,9.86,11.44,2011
4215,AGISPOR ONYCHOSET OINT 10GR (WITH WATER PROOF PLASTERS),10.0,97.54,121.93,141.44,2011
2891,AGISPOR SHAMPO 100ML,100.0,,,,2011
2367,AGISPOR SOL 15ML,15.0,13.4,18.36,21.3,2011
2375,AGISTEN 1 VAGINAL TAB  0.5GR,1.0,9.6,13.15,15.25,2011
2368,AGISTEN 3 VCR 20GR 2%,20.0,13.32,18.25,21.17,2011
2376,AGISTEN 6 VAGINAL TAB 0.1GR,6.0,12.22,16.75,19.43,2011
6039,AGRIPPAL S1,1.0,25.24,34.57,40.11,2011
4003,AGRYLIN 0.5MG 100CAP,100.0,2154.17,2531.15,2936.13,2011
1443,AHISTON 2MG 20TAB,20.0,14.18,19.42,22.53,2011
2875,AHISTON COMP DRP15ML,15.0,,,,2011
844,AKNE-MYCIN EMUL. 25G,25.0,,,,2011
4522,AKNE-MYCIN PLUS SOL 25ML,25.0,41.6,55.96,64.91,2011
845,AKNE-MYCIN SOL 25ML,25.0,11.9,16.3,18.9,2011
4004,ALCON AZOPT 1% 5ML,5.0,47.55,63.96,74.19,2011
3150,ALDACTONE 100MG 10T,10.0,9.02,12.36,14.34,2011
3060,ALDACTONE 25MG 20T,20.0,8.82,12.08,14.01,2011
4005,ALDARA 5% CREAM 12SACH,12.0,303.74,356.89,413.99,2011
1448,ALDOSPIRONE 100MG 20TAB,20.0,18.05,24.72,28.68,2011
1447,ALDOSPIRONE 25MG 20TAB,20.0,8.82,12.08,14.01,2011
3854,ALENDRONATE TEVA 10MG 30TAB,30.0,79.45,106.85,123.95,2011
4751,ALENDRONATE TEVA 70MG 4TAB,4.0,52.35,70.41,81.67,2011
6401,ALFU-KAL XL 10MG 30TAB,30.0,61.46,82.66,95.89,2011
6621,ALFUZOSIN ER TEVA 10MG 30 XR TAB,30.0,61.46,82.66,95.89,2011
6334,ALFUZOSIN WINTHROP XL 10MG 30 TAB,30.0,61.46,82.66,95.89,2011
1450,ALGOLYSIN FORTE 20T,20.0,,,,2011
1069,ALKERAN  2MG 25 TABS,25.0,18.28,25.04,29.05,2011
4217,ALKERAN INJ 50MG/10ML,1.0,239.56,281.48,326.52,2011
3800,ALLEGRO NASAL SPRAY 15ML (120DOSES),120.0,39.08,52.57,60.98,2011
1726,ALLORIL 100MG 50TAB,50.0,9.07,12.43,14.41,2011
1727,ALLORIL 300MG 20TAB,20.0,7.36,10.08,11.69,2011
3362,ALOMIDE 10ML,10.0,34.84,47.73,55.37,2011
6477,ALPHA D3 0.25MCG 30CAP,30.0,20.76,28.44,32.99,2011
1451,ALPHA D3 0.25MCG 50CAP,50.0,34.6,47.4,54.99,2011
6476,ALPHA D3 1MCG 30CAP,30.0,53.63,72.14,83.68,2011
1452,ALPHA D3 1MCG 50CAP,50.0,89.39,120.23,139.47,2011
4785,ALPHAGAN P 0.15% 5ML,5.0,,,,2011
3285,ALPRALID 0.25MG 30TAB,30.0,6.82,9.34,10.83,2011
3286,ALPRALID 0.50MG 30TAB,30.0,10.51,14.4,16.71,2011
3287,ALPRALID 1MG 30TAB,30.0,17.23,23.6,27.38,2011
3213,ALPROX 0.25MG 30TAB,30.0,6.82,9.34,10.83,2011
3214,ALPROX 0.50MG 30TAB,30.0,10.51,14.4,16.71,2011
3215,ALPROX 1MG 30TAB,30.0,17.23,23.6,27.38,2011
6660,ALVESCO 160MCG 60 ACT SOL  FOR INH,60.0,125.21,156.52,181.56,2011
4390,AMARYL 1MG 30TAB,30.0,10.88,14.9,17.29,2011
4391,AMARYL 2MG 30TAB,30.0,16.3,22.34,25.91,2011
4392,AMARYL 3MG 30TAB,30.0,23.87,32.7,37.93,2011
6385,AMARYL 4MG 30TAB,30.0,28.72,39.35,45.64,2011
6456,AMBIEN CR 12.5MG 28TAB,28.0,,,,2011
6455,AMBIEN CR 6.25MG 28TAB,28.0,,,,2011
6695,AMEVIVE 15MG/0.5ML 1VIAL,1.0,,,,2011
6696,AMEVIVE 15MG/0.5ML 4 VIAL,4.0,,,,2011
2309,AMIODACORE 200MG 30TAB,30.0,21.17,29.0,33.64,2011
6645,AMIODACORE INJECTION 150MG/3ML 6X3AMP,6.0,17.16,23.5,27.26,2011
4986,AMLODIPINE TEVA 10MG 20TAB,20.0,17.85,24.45,28.36,2011
4987,AMLODIPINE TEVA 5MG 20TAB,20.0,10.8,14.8,17.17,2011
4778,AMLOW 10MG 20TAB,20.0,17.85,24.45,28.36,2011
4777,AMLOW 5MG 20TAB,20.0,10.8,14.8,17.17,2011
4006,AMOXICLAV-TEVA 250 SUSP 100ML,100.0,19.53,26.76,31.04,2011
4409,AMOXICLAV-TEVA 250MG 20TAB,20.0,23.38,32.03,37.16,2011
4007,AMOXICLAV-TEVA 500 20TAB,20.0,29.66,40.63,47.13,2011
516,ANAFRANIL 25MG 30TAB,30.0,10.96,15.01,17.42,2011
3534,ANAFRANIL SR 75MG 20TAB,20.0,23.45,32.12,37.26,2011
6347,ANASTROZOLE 1MG 30TAB,30.0,387.67,455.51,528.4,2011
6697,ANASTROZOLE INOVAMED 1MG 30TAB,30.0,387.67,455.51,528.4,2011
8,ANDROCUR 10MG 15TAB,15.0,21.95,30.07,34.88,2011
4645,ANDROCUR 50MG 50TAB,50.0,145.16,181.44,210.47,2011
4676,ANDROGEL 25MG 30SACHX2.5G,30.0,236.4,277.77,322.22,2011
4677,ANDROGEL 50MG 30SACHX5G,30.0,217.27,255.3,296.15,2011
2805,ANDROXON 40MG 30CAP,30.0,37.11,50.84,58.98,2011
4865,ANGELIQ 1X28TAB,28.0,67.17,90.34,104.79,2011
4861,APIDRA 100 IU/ML CART 5X3ML,15.0,152.65,190.81,221.34,2011
4984,APIDRA OPTISET/SOLOSTAR PREFILLED PEN 5X3ML,15.0,158.44,198.05,229.74,2011
6164,APIDRA VIAL 1X10ML,10.0,89.78,120.76,140.08,2011
6042,APO GO PEN 10MG/ML 5X3ML,5.0,597.6,702.19,814.53,2011
4763,APO-GO 10MG/ML 5AMPX2ML,5.0,219.34,257.72,298.96,2011
4764,APO-GO 10MG/ML 5AMPX5ML,5.0,255.9,300.68,348.79,2011
3518,APOVENT SOL 20ML,20.0,18.22,24.96,28.95,2011
3384,AQUADON 100MG 20TAB,20.0,,,,2011
3307,ARAGEST 2.5MG 30TAB,30.0,10.63,14.56,16.89,2011
1728,ARAGEST 5MG 30TAB,30.0,12.42,17.02,19.74,2011
4554,ARANESP 100MCG 4 PREFILLED SYR 0.5ML,4.0,3974.83,4670.43,5417.7,2011
4899,ARANESP 100MCG PREFILLED PEN 1X0.5ML,1.0,990.29,1163.59,1349.76,2011
4546,ARANESP 10MCG 4 PREFILLED SYR 0.4ML,4.0,367.79,432.16,501.3,2011
4555,ARANESP 150MCG 4 PREFILLED SYR 0.3ML,4.0,5787.62,6800.46,7888.53,2011
4900,ARANESP 150MCG PREFILLED PEN 1X0.3ML,1.0,1310.88,1540.28,1786.72,2011
4548,ARANESP 20MCG 4 PREFILLED SYR 0.5ML,4.0,611.42,718.42,833.37,2011
4893,ARANESP 20MCG PREFILLED PEN 1X0.5ML,1.0,191.07,238.84,277.05,2011
4901,ARANESP 300MCG PREFILLED PEN 1X0.6ML,1.0,2849.77,3348.47,3884.23,2011
4549,ARANESP 30MCG 4 PREFILLED SYR 0.3ML,4.0,1173.36,1378.69,1599.29,2011
4550,ARANESP 40MCG 4 PREFILLED SYR 0.4ML,4.0,1564.48,1838.26,2132.38,2011
4895,ARANESP 40MCG PREFILLED PEN 1X0.4ML,1.0,391.12,459.56,533.1,2011
4902,ARANESP 500MCG PREFILLED PEN 1X1ML,1.0,4500.18,5287.72,6133.75,2011
4551,ARANESP 50MCG 4 PREFILLED SYR 0.5ML,4.0,1955.59,2297.82,2665.48,2011
4896,ARANESP 50MCG PREFILLED PEN 1X0.5ML,1.0,598.92,703.73,816.33,2011
4552,ARANESP 60MCG 4 PREFILLED SYR 0.3ML,4.0,2384.9,2802.26,3250.62,2011
4897,ARANESP 60MCG PREFILLED PEN 1X0.3ML,1.0,596.22,700.56,812.65,2011
4553,ARANESP 80MCG 4 PREFILLED SYR 0.4ML,4.0,3179.87,3736.34,4334.16,2011
4898,ARANESP 80MCG PREFILLED PEN 1X0.4ML,1.0,794.06,933.02,1082.3,2011
6284,ARAVA 100MG 3TAB,3.0,152.4,190.51,220.99,2011
4008,ARAVA 10MG 30TAB,30.0,275.26,323.43,375.18,2011
4010,ARAVA 20MG 30TAB,30.0,306.51,360.15,417.77,2011
4762,ARCOXIA 120MG 7TAB,7.0,36.01,49.33,57.23,2011
6658,ARCOXIA 30MG 28TAB,28.0,82.68,111.2,128.99,2011
4760,ARCOXIA 60MG 10TAB,10.0,43.36,58.31,67.64,2011
4761,ARCOXIA 90MG 10TAB,10.0,48.84,65.69,76.2,2011
4221,AREDIA VIAL 90MG PWDR 10ML SOLV,1.0,1138.17,1337.35,1551.33,2011
3584,AREDIA VIALS 2X30MG + 5ML SOLV,2.0,577.79,678.91,787.53,2011
3626,ARICEPT 10MG 28TAB,28.0,301.69,354.49,411.21,2011
3625,ARICEPT 5MG 28TAB,28.0,278.35,327.06,379.39,2011
4747,ARIMIDEX 1MG 28TAB,28.0,361.83,425.15,493.17,2011
6156,ARIXTRA 10MG/0.8ML 10 PREFIL SYR,10.0,798.76,938.55,1088.71,2011
6155,ARIXTRA 2.5MG/0.5ML 10 PREFIL SYR,10.0,433.93,509.87,591.44,2011
6282,ARIXTRA 7.5MG/0.6ML 10 PREFIL.SYRINGE,10.0,798.76,938.55,1088.71,2011
4011,AROMASIN 25MG 30TAB,30.0,590.33,693.64,804.62,2011
3638,ART 50 50MG 30CAPS,30.0,49.33,66.35,76.96,2011
3305,ARTHROTEC 50 20TAB,20.0,27.81,38.09,44.19,2011
4012,ARTHROTEC 75 20TAB,20.0,35.4,48.5,56.26,2011
6161,ARTHRYL 1500MG 30 SACHETS,30.0,59.58,80.14,92.96,2011
1288,ASACOL 400MG 100TAB,100.0,124.47,155.59,180.48,2011
4910,ASACOL 800MG 60TAB,60.0,190.81,238.52,276.68,2011
4223,ASENTA 10MG 28TAB,28.0,301.69,354.49,411.21,2011
4224,ASENTA 5MG 28TAB,28.0,278.35,327.06,379.39,2011
1467,ASSIVAL 10MG 30TAB,30.0,7.88,10.79,12.51,2011
1466,ASSIVAL 10MG/2ML 5AMP,5.0,11.86,16.25,18.86,2011
1468,ASSIVAL 2MG 30TAB,30.0,3.61,4.94,5.73,2011
1469,ASSIVAL 5MG 30TAB,30.0,5.43,7.43,8.62,2011
6431,ATACAND 16MG 28TAB,28.0,89.0,119.7,138.85,2011
6430,ATACAND 8MG 28TAB,28.0,75.81,101.97,118.28,2011
6445,ATACAND PLUS 28TAB,28.0,90.45,121.66,141.12,2011
6575,ATORVASTATIN TEVA 10MG 30TAB,30.0,66.69,89.69,104.05,2011
6576,ATORVASTATIN TEVA 20MG 30TAB,30.0,114.54,143.18,166.09,2011
6577,ATORVASTATIN TEVA 40MG 30TAB,30.0,158.97,198.71,230.51,2011
6578,ATORVASTATIN TEVA 80MG 30TAB,30.0,194.26,228.26,264.78,2011
6397,ATOSIBAN 7.5MG/ML 0.9ML(6.75MG),0.9,131.97,164.97,191.36,2011
6398,ATOSIBAN 7.5MG/ML 5ML (37.5MG),5.0,2332.41,2740.58,3179.08,2011
6093,ATRIANCE 5MG/ML INJ 6X50ML VIALS,6.0,10006.26,11757.36,13638.54,2011
6661,ATRIPLA 30TAB,30.0,3779.15,4440.51,5150.99,2011
1790,ATROSPAN DRPS 1%10CC,10.0,13.97,19.14,22.21,2011
4715,ATROVENT INHALER 20MCG 200DOSES,200.0,23.48,32.17,37.31,2011
970,AUGMENTIN 1.2G 10VIALS,10.0,143.73,179.67,208.41,2011
3058,AUGMENTIN 125MG 100ML,100.0,11.65,15.96,18.51,2011
2637,AUGMENTIN 250MG 20T,20.0,23.38,32.03,37.16,2011
3105,AUGMENTIN 250MG100ML,100.0,19.53,26.76,31.04,2011
3818,AUGMENTIN 400MG SUSP 35ML,35.0,11.82,16.2,18.79,2011
3819,AUGMENTIN 400MG SUSP 70ML,70.0,23.65,32.4,37.58,2011
975,AUGMENTIN 500MG 10VIALS,10.0,75.16,101.09,117.26,2011
3057,AUGMENTIN 500MG 20TAB,20.0,29.66,40.63,47.13,2011
3666,"AUGMENTIN B.I.D ""875""MG 14TAB",14.0,32.14,44.03,51.08,2011
3428,AURICULARUM POWDER,30.0,,,,2011
6400,AVAMYS 27.5MCG/DOSE 120DOSES,120.0,44.98,60.49,70.17,2011
3820,AVANDIA 4MG 28TAB,28.0,101.39,126.74,147.02,2011
3821,AVANDIA 8MG 28TAB,28.0,166.56,208.2,241.51,2011
4932,AVASTIN 100MG 25MG/ML VIAL 4ML,1.0,1606.71,1887.88,2189.94,2011
4933,AVASTIN 400MG 25MG/ML VIAL 16ML,1.0,6241.04,7333.23,8506.54,2011
4013,AVAXIM INJ SOL 1X0.5ML,1.0,124.39,155.48,180.36,2011
1918,AVAZINC 220MG 50TAB,50.0,,,,2011
4646,AVODART 0.5MG 30CAPS,30.0,132.88,166.1,192.67,2011
6120,AVONEX 4X30MCG/ML SYRINGE,4.0,4037.32,4743.85,5502.86,2011
3091,AZENIL 200MG 15ML,15.0,21.84,29.92,34.7,2011
3092,AZENIL 200MG 22.5ML,22.5,32.76,44.88,52.06,2011
3093,AZENIL 250MG 6CAPSULES,6.0,30.86,42.28,49.04,2011
4803,AZILECT 1MG 30TAB,30.0,477.67,561.26,651.06,2011
6075,AZITHROMYCIN TEVA 200MG/5ML 15ML,15.0,21.84,29.92,34.7,2011
6076,AZITHROMYCIN TEVA 200MG/5ML 22.5ML,22.5,32.76,44.88,52.06,2011
2552,AZOPI 50MG 100TAB,100.0,95.75,119.69,138.84,2011
2231,BACLOSAL 10MG 50TAB,50.0,17.69,24.23,28.11,2011
2232,BACLOSAL 25MG 50TAB,50.0,34.85,47.74,55.38,2011
977,BACTROBAN 15GR OINT,15.0,23.69,32.45,37.64,2011
976,BACTROBAN NASAL 3GR,3.0,29.39,40.27,46.71,2011
1470,BAMYXIN EYE OINT 3.5GR,3.5,,,,2011
6380,BARACLUDE 0.5 MG 30 F.C. TABS,30.0,2252.28,2646.43,3069.86,2011
6381,BARACLUDE 1 MG 30 F.C. TABS,30.0,2382.53,2799.48,3247.39,2011
1472,BEDODEKA 100AMP,100.0,248.8,292.34,339.11,2011
4962,BELARA 1X21TAB,21.0,41.01,55.16,63.99,2011
4963,BELARA 3X21TAB,63.0,123.03,153.79,178.4,2011
4689,BENAZEPRIL-TEVA 10MG 30TAB,30.0,41.78,56.19,65.18,2011
4690,BENAZEPRIL-TEVA 20MG 30TAB,30.0,78.12,105.08,121.89,2011
4688,BENAZEPRIL-TEVA 5MG 30TAB,30.0,30.51,41.8,48.49,2011
6729,BENEFIX 1000IU/VIAL I.V 1 VIAL,1.0,3518.67,4134.43,4795.94,2011
6730,BENEFIX 2000IU/VIAL I.V 1 VIAL,1.0,7026.45,8256.08,9577.05,2011
6727,BENEFIX 250IU/VIAL I.V 1 VIAL,1.0,1110.9,1305.31,1514.16,2011
6728,BENEFIX 500 IU/VIAL I.V 1 VIAL,1.0,1764.8,2073.64,2405.42,2011
6588,BENZALIN GEL TOPICAL 25G,25.0,64.96,87.37,101.35,2011
3135,BENZAMYCIN GEL 23.3G,23.3,,,,2011
4637,BENZAMYCIN GEL 46.6G,46.6,,,,2011
4511,BETACAP 0.1% 100ML,100.0,28.27,38.73,44.93,2011
2166,BETACORTEN CREAM 15G,15.0,5.15,7.06,8.19,2011
2167,BETACORTEN DILUTED CREAM 15G,15.0,,,,2011
2168,BETACORTEN DILUTED CREAM 40G,40.0,,,,2011
2169,BETACORTEN G CR 15GR,15.0,,,,2011
2170,BETACORTEN G OINT15G,15.0,,,,2011
2171,BETACORTEN OINT 15GR,15.0,5.17,7.08,8.21,2011
2172,BETACORTEN TOPICAL SCALP  APPL SOL 30ML,30.0,8.48,11.62,13.48,2011
6119,BETAFERON 0.3MG/VIAL 15VIAL+SYR,15.0,4181.25,4912.97,5699.04,2011
1730,BETAREN 100MG 10 S.R.TAB,10.0,8.68,11.88,13.79,2011
3857,BETAREN 100MG 20 S.R.TAB,20.0,17.35,23.77,27.57,2011
4229,BETISTINE 16MG 30TAB,30.0,15.25,20.89,24.23,2011
6015,BETNESOL 0.50MG 30TAB,30.0,10.93,14.97,17.37,2011
251,BETNOVATE CREAM 15G,15.0,5.15,7.06,8.19,2011
254,BETNOVATE OINT 15G,15.0,5.17,7.08,8.21,2011
255,BETNOVATE TOPICAL SCALP APPL SOL 30ML,30.0,8.48,11.62,13.48,2011
3326,BETOPTIC S 5ML 0.25%,5.0,21.06,28.85,33.47,2011
4048,BEZAFIBRATE 400MG 30 SR TAB,30.0,28.42,38.94,45.17,2011
6271,BICALUTAMIDE TEVA 150MG 30TAB,30.0,1144.96,1345.33,1560.58,2011
6272,BICALUTAMIDE TEVA 50MG 30TAB,30.0,327.21,384.48,445.99,2011
1792,BICIDE CREAM 50ML,50.0,,,,2011
3785,BIFONAZOLE CREAM 1% 15GR,15.0,19.66,26.93,31.24,2011
3764,BIFONAZOLE TEVA CREAM 15GR,15.0,19.66,26.93,31.24,2011
6655,BIO TROPIN 10MG VIAL,1.0,1279.0,1502.82,1743.27,2011
4445,BIODROXIL 125MG/5ML SUSP 60 ML,60.0,6.74,9.24,10.72,2011
4446,BIODROXIL 250MG/5ML SUSP 60 ML,60.0,11.69,16.02,18.58,2011
4447,BIODROXIL 500 MG 12 CAPSULES,12.0,19.05,26.1,30.28,2011
2420,BIO-TROPIN 12 IU,1.0,549.08,645.17,748.4,2011
2419,BIO-TROPIN 4 IU,1.0,,,,2011
1478,BLASTOVIN 1VIAL 10MG/10ML,1.0,50.85,68.4,79.34,2011
1294,BLEPHAMIDE LIQUIFILM 5CC,5.0,,,,2011
1844,BONDORMIN 0.25MG 10TAB,10.0,9.61,13.17,15.27,2011
4650,BONEFOS 800MG 30TAB,30.0,438.97,515.79,598.32,2011
1845,BONSERIN 30MG 20TAB,20.0,15.13,20.73,24.05,2011
6719,BOTOX 100 1VIAL,1.0,1130.01,1327.76,1540.21,2011
6055,BRAVELLE 75IU 10AMP,10.0,784.76,922.1,1069.63,2011
6367,BREXIN 20MG 10 SACHETS WATER SOLUBLE POWDER,10.0,17.17,23.52,27.29,2011
6366,BREXIN 20MG 20 SACHETS WATER SOLUBLE POWDER,20.0,34.34,47.05,54.58,2011
6027,BREXIN 20MG 20TAB,20.0,27.11,37.14,43.08,2011
1481,BRICALIN ELIXIR 115ML,115.0,6.43,8.81,10.22,2011
1483,BRICALIN RESP 15ML,15.0,,,,2011
1485,BRICALIN TURBUHALER 200DOSES,200.0,42.2,56.76,65.84,2011
6583,BRIDION 10X2ML VIALS,10.0,3929.95,4617.69,5356.52,2011
6584,BRIDION 10X5ML VIALS,10.0,9824.88,11544.23,13391.31,2011
6468,BRIMONIDINE TEVA 0.15% OPHT. SOL 5ML,5.0,,,,2011
3860,BRONCHOLATE FRTE NEW FORM. SYR 120ML,120.0,,,,2011
3850,BROTIZOLAM-TEVA 0.25MG 10TAB,10.0,9.61,13.17,15.27,2011
3346,BUDESON 3MG 100CAP,100.0,407.82,479.19,555.86,2011
6522,BUDESONIDE STERINEBS TEVA 0.5MG/2ML 20UNITS,20.0,99.28,124.1,143.96,2011
6641,BUDESONIDE STERINEBS TEVA 1MG/2ML 20UNITS,20.0,151.35,189.19,219.46,2011
6444,BUDICORT 200MCG/DOSE 120DOSES,120.0,50.71,68.21,79.12,2011
6432,BUDICORT RESP1MG/2ML 20UNITS,20.0,151.35,189.19,219.46,2011
6521,BUDICORT RESPULES 0.5MG/2ML 20UNITS,20.0,99.28,124.1,143.96,2011
6531,BUDICORT TURBUHALER 100MCG/DOSE 200 DOSES,200.0,73.28,98.56,114.33,2011
6530,BUDICORT TURBUHALER 200MCG/DOSE 100DOSES,100.0,60.66,81.59,94.64,2011
6618,BUTRANS  20MG 2PATCHES,2.0,242.3,284.7,330.25,2011
6617,BUTRANS 10MG 2PATCHES,2.0,143.1,178.87,207.49,2011
6616,BUTRANS 5MG 2PATCHES,2.0,76.12,102.38,118.77,2011
6054,BYETTA 10MCG 2.4ML,1.0,456.75,536.68,622.55,2011
6053,BYETTA 5MCG 1.2ML,1.0,438.35,515.06,597.47,2011
4049,CABASER 1MG 20TAB,20.0,73.69,99.12,114.97,2011
4050,CABASER 2MG 20TAB,20.0,146.24,182.8,212.05,2011
4989,CABOTRIM 0.5MG 2TAB,2.0,44.47,59.82,69.39,2011
4990,CABOTRIM 0.5MG 8TAB,8.0,177.89,222.36,257.94,2011
6622,"CABOTRIM 1MG 30TAB
CABOTRIM 1MG 30TAB",30.0,110.54,138.17,160.28,2011
6427,CABOTRIM 2MG 30TAB,30.0,219.37,257.76,299.0,2011
3754,CADEX 1MG 30TAB,30.0,17.38,23.81,27.61,2011
3755,CADEX 2MG 30CAPL,30.0,14.15,19.39,22.49,2011
3756,CADEX 4MG 30CAPL,30.0,23.78,32.57,37.78,2011
2486,CAFERGOT 20TAB,20.0,10.03,13.74,15.94,2011
2001,CALCILESS 200TAB,200.0,,,,2011
6389,CALCIPOTRIOL TEVA 50 MCG/G OINT 100GR,100.0,128.73,160.91,186.66,2011
6388,CALCIPOTRIOL TEVA 50 MCG/G OINT 30GR,30.0,38.62,51.94,60.25,2011
6136,CAMPTO 100MG/5ML IV SOL FOR INF,1.0,467.54,549.36,637.25,2011
6471,CAMPTO 300MG IV SOL FOR INF,1.0,1556.16,1828.49,2121.05,2011
6137,CAMPTO 40MG/2ML IV SOL FOR INF,1.0,190.21,237.77,275.81,2011
3430,CAPTOPRIL 12.5MG 90TAB,90.0,24.8,33.98,39.42,2011
3431,CAPTOPRIL 25MG 90TAB,90.0,36.5,50.01,58.01,2011
3432,CAPTOPRIL 50MG 90TAB,90.0,65.16,87.64,101.66,2011
3842,CARDILOC 10MG 30TAB,30.0,18.66,25.56,29.65,2011
3841,CARDILOC 5MG 30TAB,30.0,12.77,17.49,20.29,2011
4051,CARDIOXANE 500MG VIAL PWDR FOR INFUS,1.0,597.95,702.59,815.0,2011
3183,CARDORAL 1MG 30TAB,30.0,17.38,23.81,27.61,2011
3184,CARDORAL 2MG 30TAB,30.0,14.15,19.39,22.49,2011
3185,CARDORAL 4MG 30TAB,30.0,23.78,32.57,37.78,2011
6605,CARDOXIN AMPOULES 10MG/2ML 50AMP,50.0,46.88,63.05,73.14,2011
1847,CARDOXIN FRTE 75MG 100TAB,100.0,20.05,27.47,31.86,2011
6211,CARTEOL LP 1% 30 SINGLE DOSE UNIT (0.2 ML),30.0,33.66,46.12,53.5,2011
6212,CARTEOL LP 1% 3ML,3.0,24.97,34.21,39.68,2011
6213,CARTEOL LP 2% 30 SINGLE DOSE UNIT (0.2 ML),30.0,33.66,46.12,53.5,2011
6214,CARTEOL LP 2% 3ML,3.0,25.06,34.33,39.82,2011
4603,CARVEDEXXON 12.5MG 30TAB,30.0,20.65,28.29,32.82,2011
4602,CARVEDEXXON 6.25MG 30TAB,30.0,15.6,21.37,24.79,2011
6110,CARVEDILOL TEVA 12.5MG 30TAB,30.0,20.65,28.29,32.82,2011
6109,CARVEDILOL TEVA 6.25MG 30TAB,30.0,15.6,21.37,24.79,2011
